id;title;content;created_at;updated_at;product_id
1;harness;Polarised Legacy Investment Account;2020-02-02T23:10:18;2020-02-03T17:33:12;1
2;Hill morph;alarm Cross-platform;2020-02-03T16:03:01;2020-02-02T19:06:58;2
3;solid state connect;withdrawal composite;2020-02-03T07:05:07;2020-02-03T08:31:57;3
4;generate wireless firewall;Metal vertical;2020-02-03T05:53:45;2020-02-03T10:22:05;4
5;copy Bhutan wireless;Multi-channelled;2020-02-03T11:49:32;2020-02-03T05:39:03;5
6;silver Rustic;Libyan Arab Jamahiriya JBOD Falkland Islands (Malvinas);2020-02-03T11:44:40;2020-02-02T18:09:03;6
7;Sleek Plastic Table pixel customized;mobile Directives Frozen;2020-02-02T22:34:34;2020-02-03T03:01:33;7
8;incentivize Practical Wooden Shirt overriding;Fresh Ergonomic Steel Keyboard;2020-02-03T09:56:02;2020-02-02T20:32:10;8
9;application Manors Maine;applications PNG alarm;2020-02-03T15:24:52;2020-02-03T03:42:00;9
10;Steel;Generic Yen;2020-02-03T06:29:24;2020-02-03T07:52:17;10
