id;product_type_id;provider_id;name;code;sell_price;import_price;quantity;product_line;image;sale_price;created_at;updated_at
1;1;1;Kids Gambia;calculating South Dakota monetize;90460;98666;76190;wireless Chilean Peso Unidades de fomento;reboot;76808;2020-02-02T19:36:45;2020-02-03T02:28:54
2;2;2;THX actuating;deposit Division Rustic Steel Soap;66812;63081;44325;infomediaries Michigan Incredible;Democratic People's Republic of Korea Internal compressing;55080;2020-02-03T02:30:55;2020-02-03T10:33:17
3;3;3;Credit Card Account;Gloves Lao People's Democratic Republic;16516;29161;69325;Rustic Concrete Car;Computer Oklahoma Identity;20520;2020-02-03T10:36:15;2020-02-02T19:11:59
4;4;4;mobile distributed Dynamic;Sports Human New Mexico;94655;20809;12092;Cape Verde;intangible homogeneous;66238;2020-02-03T06:48:19;2020-02-03T14:20:09
5;5;5;Liaison;Keyboard;47207;88935;46377;Intelligent;SMS;62192;2020-02-03T16:41:46;2020-02-03T11:00:42
6;6;6;Yuan Renminbi cross-platform Consultant;online Forward;30021;79521;23086;Computer efficient Sleek Soft Sausages;applications;25082;2020-02-02T18:52:53;2020-02-03T13:03:44
7;7;7;navigate grey Harbors;Automotive Massachusetts Checking Account;6748;26451;87985;Ergonomic;Ergonomic Metal Keyboard full-range Cambridgeshire;78668;2020-02-03T13:59:00;2020-02-03T17:10:28
8;8;8;Operations Associate;Chicken;67286;61811;95388;transmit Arkansas clicks-and-mortar;Outdoors programming;52857;2020-02-03T04:30:27;2020-02-03T17:32:16
9;9;9;Down-sized;Gorgeous Fresh Pants optical Practical;89292;95162;1542;Tuvalu;online multi-byte Checking Account;44886;2020-02-02T18:42:13;2020-02-03T08:43:15
10;10;10;capacity invoice e-services;Security Ramp Ball;35682;30266;79010;bypassing Berkshire non-volatile;Technician;94512;2020-02-02T23:23:56;2020-02-03T07:31:49
