id;data;old_value;new_value;description;created_at;updated_at;product_id
1;fuchsia Forward European Monetary Unit (E.M.U.-6);Nevada Cove;structure plum;SAS;2020-02-03T05:31:41;2020-02-02T18:44:17;1
2;architectures Branding;indexing quantifying Checking Account;Tuna;Auto Loan Account Outdoors Borders;2020-02-03T09:27:29;2020-02-02T21:09:54;2
3;Egyptian Pound feed;transparent extend;Buckinghamshire Brook Jewelery;payment;2020-02-02T19:44:51;2020-02-03T01:31:16;3
4;Steel Industrial;haptic Bedfordshire;Polarised;drive deposit;2020-02-03T15:49:52;2020-02-03T07:09:39;4
5;Hawaii productize Electronics;deliver SCSI Generic Fresh Sausages;global;SAS Costa Rican Colon;2020-02-03T00:54:16;2020-02-02T21:49:36;5
6;Idaho port Director;Springs Manager;Home next-generation fuchsia;Operations;2020-02-02T21:59:05;2020-02-02T21:25:48;6
7;International;Developer;Toys Incredible Wooden;Cotton;2020-02-02T23:47:44;2020-02-02T23:49:25;7
8;archive;Dynamic Brazilian Real United Kingdom;Principal Health;Shore Saint Helena Pound networks;2020-02-02T23:52:27;2020-02-03T16:43:58;8
9;South Dakota invoice Fantastic;COM Agent Bedfordshire;payment Sleek Concrete Bacon Bedfordshire;cutting-edge SMS;2020-02-03T09:13:52;2020-02-03T11:25:53;9
10;sensor Rustic Plastic Gloves pink;Anguilla Money Market Account Soft;paradigms;neural Checking Account;2020-02-03T04:04:19;2020-02-03T06:46:54;10
