id;name;code
1;Berkshire deliverables Customer;interface parsing
2;panel partnerships;Tasty Wooden Table Uzbekistan Sum Cambridgeshire
3;cross-platform;Practical Metal Tuna
4;generating framework systematic;Cambridgeshire
5;cyan;Devolved
6;Computer;Avon
7;virtual silver;French Guiana value-added installation
8;Cuba Wyoming Borders;green Dynamic microchip
9;Small Intelligent Wooden Bacon Codes specifically reserved for testing purposes;Central
10;Union compress XML;Orchestrator Mountain British Indian Ocean Territory (Chagos Archipelago)
