id;point;evaluate;created_at;user_id;product_id
1;2;Tennessee Saint Pierre and Miquelon;2020-02-02T20:47:09;1;1
2;1;Rhode Island;2020-02-03T03:14:30;2;2
3;4;SDD Montana 1080p;2020-02-03T11:10:38;1;3
4;1;SAS Oregon Producer;2020-02-03T18:22:32;2;4
5;5;deliver JSON Greece;2020-02-03T00:01:35;2;5
6;3;multi-byte;2020-02-03T02:50:18;1;6
7;2;parse Interactions action-items;2020-02-03T05:23:57;1;7
8;1;redundant Tasty;2020-02-03T00:27:51;2;8
9;0;optimal;2020-02-02T23:41:23;2;9
10;2;Cambridgeshire Kip;2020-02-03T06:49:54;2;10
